state,type,portal,project_id,project_name,bid_due_date,document_url,file_name,file_size,spec_format,divisions,gcs_path,retrieved_date,status
Missouri,DOT,missouri_dot,JNW0105,"(1): Job JNW0105 Route VARIOUS VARIOUS County. 19 BRIDGE REHABILITATIONS on various routes in Daviess, Grundy, Harrison, Linn, Mercer, Putnam, and Sullivan Counties, the total length of improvement be",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22418?type=plan,22418?type=plan,947598,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JNWM0130,"(1): Job JNWM0130 Route I-35 HARRISON County. Pavement repair at Eagle Rest Area, the total length of improvement being 0.645 miles.",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22423?type=plan,22423?type=plan,460566,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JNE0024,"(1): Job JNE0024 Route 11 ADAIR, KNOX, LINN, SULLIVAN County. Resurface from Route 15 near Baring to Route 129 in Linn County, the total length of improvement being 41.787 miles. (2): Job JNE0254 Rout",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22388?type=plan,22388?type=plan,487351,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JKU0066,"(1): Job JKU0066 Route 40 JACKSON County. Grading, pavement, coldmill, resurface, signal, wall and ADA improvements from Cliff Avenue to Little Blue Parkway near Independence, the total length of impr",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22411?type=plan,22411?type=plan,961531,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JCD0219B,"(1): Job JCD0219B Route 54 COLE County. Tree clearing from just west of Route E to just east of Sandy Fork Road, the total length of improvement being 1.894 miles.",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22407?type=plan,22407?type=plan,478824,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JSL0038,"(1): Job JSL0038 Route I-44 FRANKLIN County. Coldmill, resurface, ramp extensions, rest area and weigh scale site improvements on I-44 from the Crawford County line to 0.5 miles east of Route 30, the ",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22408?type=plan,22408?type=plan,1536134,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JSLM0078,"(1): Job JSLM0078 Route BB JEFFERSON County. Culvert replacements at Brackman Drive in Cedar Hill, the total length of improvement being 0.054 miles.",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22409?type=plan,22409?type=plan,531115,,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,J8S0745,"(1): Job J8S0745 Route D GREENE County. Coldmill, resurface and turn lanes from Glenstone Ave. to Blackman Rd. in Springfield, the total length of improvement being 2.718 miles. (2): Job J8S3133 Route",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22410?type=plan,22410?type=plan,1096949,,,,2026-08-06,downloaded
Missouri,Vertical,missouri_vertical,R2511-01,R2511-01,,https://oa.mo.gov/sites/default/files/bid-opportunities/_R2511-01%20Final%20Bid%20Specs.pdf,_R2511-01%20Final%20Bid%20Specs.pdf,4574081,CSI,00;01;05;23;26,gs://specindex-ai-raw-documents/specs/MISSOURI/R2511-01/specbook__R2511-01-20Final-20Bid-20Specs.pdf,2026-08-06,downloaded
Missouri,Vertical,missouri_vertical,X2514-01,X2514-01,,https://oa.mo.gov/sites/default/files/bid-opportunities/_X2514-01%20Final%20Bid%20Specs.pdf,_X2514-01%20Final%20Bid%20Specs.pdf,5515275,CSI,00;01;03;04;06;07;09;31;32,gs://specindex-ai-raw-documents/specs/MISSOURI/X2514-01/specbook__X2514-01-20Final-20Bid-20Specs.pdf,2026-08-06,downloaded
